MOF,uptake_ads,uptake_des,del_q,heat_ads,heat_des,del_H_ads,LISD,LFSD,LISFS,Unit_cell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surface_area_A2,Number_of_pockets,AV_A3,AV_Volume_fraction,AV_cm3_per_g,NAV_A3,NAV_Volume_fraction,NAV_cm3_per_g,Channel_volume,Number_of_pockets.1,oms_value,Pocket_volume_A3,Pocket_surface_area_A2,No_of_Channel,Di,Df,Dif,H,Yb,Ir,K,V,Te,Mn,Co,Sr,Bi,Cd,Mg,P,Be,Cl,As,F,Pb,Pr,Mo,I,Er,Fe,Pu,Y,W,Gd,Sn,Se,Cs,B,Ge,C,Si,Ag,Pt,S,Th,Ca,Dy,Au,Rb,Zr,Ho,Br,Sc,Na,U,Pd,Nd,Ni,Np,N,Nb,Ru,Li,Lu,Zn,Hg,Hf,Sb,In,Eu,Ga,Tb,Tm,Sm,O,La,Cr,Ti,Ba,Rh,Ce,Cu,Al,Re,COP
FAKLIO_clean,0.358249751,0.329510027,0.028739724,-45.17253,-39.77714,-42.474835,9.33438,8.39794,9.33438,1592.32,0.753404,252.371,1584.93,2103.69,0,0,0,1,252.371,0,318.782,0.2002,0.265727,0,0,0,318.782,0,0,0,0,1,9.33438,8.39794,9.33438,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145672506
MUNNUF_clean,0.269082674,0.241023789,0.028058885,-40.24471,-40.66069,-40.4527,7.02919,4.98135,7.02919,3470.45,0.937356,583.046,1680.03,1792.31,0,0,0,1,583.046,0,372.032,0.1072,0.114364,0,0,0,372.032,0,0,0,0,1,7.02919,4.98135,7.02919,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0.14612576
ic401157n_si_003_clean,0.36406532,0.336456019,0.027609301,-38.61092,-39.5156,-39.06326,8.32625,5.40543,8.32625,5414.99,0.801466,1160.76,2143.6,2674.6,0,0,0,1,1160.76,0,712.613,0.1316,0.164199,0,0,0,712.613,0,0,0,0,1,8.32625,5.40543,8.32625,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0.146438263
HOZFIN_clean,0.316212791,0.290095628,0.026117163,-35.41754,-32.85474,-34.13614,11.67892,10.40472,11.67892,5811.21,0.774366,655.446,1127.9,1456.55,242.182,416.75,538.182,1,655.446,2,1176.19,0.2024,0.261375,148.767,0.0256,0.0330593,1176.19,2,10,74.3835,121.081,1,11.6789,10.4047,11.6789,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0.147527097
XANMUX06_clean,0.198518765,0.169749441,0.028769324,-43.38015,-42.0244,-42.702275,7.29247,7.26238,7.29247,2331.6,1.16156,315.51,1353.19,1164.98,0,0,0,2,155.631,0,328.289,0.1408,0.121216,0,0,0,159.015,0,0,0,0,2,7.29247,7.26238,7.29247,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.145468594
PEZCII_clean,0.252601832,0.226090671,0.02651116,-36.21916,-34.92026,-35.56971,12.50562,10.18851,12.50562,9001.66,0.9535,1228.06,1364.25,1430.79,0,0,0,3,414.109,0,2183.8,0.2426,0.254431,0,0,0,727.334,0,0,0,0,3,12.5056,10.1885,12.5056,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0,0,0,0,0,0,0,0.147121196
UBUROY_clean,0.147129734,0.123852892,0.023276841,-23.3973,-22.57837,-22.987835,6.58633,5.16401,6.58633,1461.32,1.08106,345.44,2363.89,2186.64,0,0,0,1,345.44,0,219.783,0.1504,0.139123,0,0,0,219.783,0,6,0,0,1,6.58633,5.16401,6.58633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.150078957
ANOMOG_clean,0.420390486,0.393209068,0.027181419,-38.85442,-37.06906,-37.96174,12.8839,5.34336,12.78181,10009.8,0.784559,1907.8,1905.94,2429.31,0,0,0,1,1907.8,8,2508.45,0.2506,0.319415,0,0,0,2508.45,8,12,0,0,1,12.8839,5.34336,12.8839,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,12,0,0,0.146398173
FEVNEA_charged,0.277335881,0.250860328,0.026475554,-37.60075,-33.7436,-35.672175,8.13821,4.23731,8.13821,10421.2,0.858583,2033.09,1950.91,2272.25,2.57654,2.47241,2.87964,1,2033.09,4,1244.29,0.1194,0.139066,0,0,0,1244.29,4,0,0,1.26167,1,8.13821,4.23731,8.13821,116,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0,0,0,0,0,0,0.146851071
UMODEH09_clean,0.377899561,0.351470818,0.026428744,-36.15562,-34.88031,-35.517965,7.58377,5.03153,5.76401,17548.9,0.720299,3773.14,2150.08,2984.98,0,0,0,1,3773.14,0,2004.08,0.1142,0.158545,0,0,0,2004.08,0,18,0,0,9,7.58377,5.03153,7.58377,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,18,0,0,0.146879476
